Date,Years,Months,Lake,Specie,Value
NaN,2000,1,GBS,Temp,NaN
NaN,2000,2,GBS,Temp,NaN
NaN,2000,3,GBS,Temp,NaN
NaN,2000,4,GBS,Temp,NaN
5/3/2000,2000,5,GBS,Temp,11.05153067
6/14/2000,2000,6,GBS,Temp,14.12836277
7/12/2000,2000,7,GBS,Temp,13.97437271
8/9/2000,2000,8,GBS,Temp,14.84691474
9/6/2000,2000,9,GBS,Temp,14.02563875
10/4/2000,2000,10,GBS,Temp,12.32362633
11/15/2000,2000,11,GBS,Temp,8.87507487
NaN,2000,12,GBS,Temp,NaN
NaN,2001,1,GBS,Temp,NaN
NaN,2001,2,GBS,Temp,NaN
NaN,2001,3,GBS,Temp,NaN
4/2/2001,2001,4,GBS,Temp,5.792288543
5/2/2001,2001,5,GBS,Temp,10.949214
6/11/2001,2001,6,GBS,Temp,13.23576531
7/9/2001,2001,7,GBS,Temp,15.33023127
8/6/2001,2001,8,GBS,Temp,16.41049961
9/3/2001,2001,9,GBS,Temp,14.18040917
10/1/2001,2001,10,GBS,Temp,12.77045663
11/13/2001,2001,11,GBS,Temp,8.750024453
NaN,2001,12,GBS,Temp,NaN
NaN,2002,1,GBS,Temp,NaN
2/4/2002,2002,2,GBS,Temp,2.336723832
3/4/2002,2002,3,GBS,Temp,3.842371061
4/15/2002,2002,4,GBS,Temp,7.112198953
5/27/2002,2002,5,GBS,Temp,12.80451429
6/10/2002,2002,6,GBS,Temp,15.52079659
7/22/2002,2002,7,GBS,Temp,16.21195603
8/5/2002,2002,8,GBS,Temp,16.45198704
9/2/2002,2002,9,GBS,Temp,15.07676108
10/15/2002,2002,10,GBS,Temp,11.81105769
11/25/2002,2002,11,GBS,Temp,8.368804237
NaN,2002,12,GBS,Temp,NaN
NaN,2003,1,GBS,Temp,NaN
NaN,2003,2,GBS,Temp,NaN
3/17/2003,2003,3,GBS,Temp,4.306992503
4/14/2003,2003,4,GBS,Temp,6.948699317
5/12/2003,2003,5,GBS,Temp,12.26192914
6/10/2003,2003,6,GBS,Temp,14.63440937
7/30/2003,2003,7,GBS,Temp,16.73509829
8/18/2003,2003,8,GBS,Temp,16.9045505
9/1/2003,2003,9,GBS,Temp,15.34596002
10/13/2003,2003,10,GBS,Temp,11.25958638
11/10/2003,2003,11,GBS,Temp,8.289090425
NaN,2003,12,GBS,Temp,NaN
NaN,2004,1,GBS,Temp,NaN
NaN,2004,2,GBS,Temp,NaN
3/29/2004,2004,3,GBS,Temp,4.045333422
4/13/2004,2004,4,GBS,Temp,6.970525696
5/10/2004,2004,5,GBS,Temp,9.983798233
6/21/2004,2004,6,GBS,Temp,13.19708481
7/5/2004,2004,7,GBS,Temp,14.76190101
